,page,jumlah_peserta_skb,jumlah_formasi,jumlah_metode_skb,peserta_total,peserta_hadir,peserta_th,hasil_tl,hasil_tms,hasil_tms-1,hasil_aps,lulus_akhir,sisa_formasi,tms1_terbaik,kode_jabatan,jabatan,kode_lokasi,lokasi_formasi,jenis_formasi,pendidikan
426,13851,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105226,5226. UNIVERSITAS PENDIDIKAN GANESHA FAKULTAS TEKNIK DAN KEJURUAN ,U - UMUM 1,(9501058) S-2 PENDIDIKAN KEJURUAN KONSENTRASI KECANTIKAN
427,13925,3,2,0,3,3,0,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30102653,"2653. POLITEKNIK NEGERI TANAH LAUT 3
",U - UMUM 2,(7101220) S-2 AKUNTANSI
428,13930,5,3,0,5,4,1,0,0,2,0,2,1,1,JFDO50002,ASISTEN AHLI,30104349,4349. UNIVERSITAS NEGERI MALANG FAKULTAS PENDIDIKAN PSIKOLOGI JURUSAN PSIKOLOGI ,U - UMUM 3,(9500876) S-2 MAGISTER SAINS PSIKOLOGI KLINIS
429,13936,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30103038,"3038. UNIVERSITAS BORNEO FAKULTAS TEKNIK 2
",U - UMUM 2,(7109103) S-2 TEKNIK SIPIL
430,13973,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30101558,1558. AKADEMI KOMUNITAS NEGERI SENI DAN BUDAYA YOGYAKARTA JURUSAN KARAWITAN ,U - UMUM 2,"(9501013) S-2 PENCIPTAAN DAN PENGKAJIAN SENI KONSENTRASI MUSIK
NUSANTARA"
431,13984,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30104113,4113. UNIVERSITAS NEGERI GORONTALO FAKULTAS OLAHRAGA DAN KESEHATAN ,U - UMUM 1,"(9500843) S-2 MAGISTER KEPERAWATAN KONSENTRASI KEPERAWATAN
KOMUNITAS"
432,14004,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30106112,6112. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS HUKUM ,U - UMUM 1,(7123010) S-2 ILMU HUKUM
433,14023,4,2,0,4,4,0,0,0,3,0,1,1,1,JFDO50002,ASISTEN AHLI,30105637,"5637. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",U - UMUM 2,"(7100398) S-2 TEKNIK INFORMATIKA / (7110110) S-2 TEKNOLOGI
PENDIDIKAN / (7199447) S-2 MANAJEMEN INFORMATIKA / (7199500) S-2
TEKNIK KOMPUTER"
434,14030,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30105002,5002. UNIVERSITAS PATTIMURA FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,U - UMUM 2,(7160010) S-2 ILMU KOMPUTER
435,14033,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30103699,"3699. UNIVERSITAS MALIKUSSALEH FAKULTAS PERTANIAN 1
",U - UMUM 1,(7106060) S-2 ILMU TANAH
436,14036,4,2,0,4,3,1,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30105551,"5551. UNIVERSITAS SRIWIJAYA FAKULTAS TEKNIK 2
",U - UMUM 2,(7102172) S-2 TEKNIK ELEKTRO
437,14104,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30104416,4416. UNIVERSITAS NEGERI MEDAN FAKULTAS BAHASA DAN SENI ,U - UMUM 2,"(9501015) S-2 PENCIPTAAN DAN PENGKAJIAN SENI KONSENTRASI
PENCIPTAAN DESAIN KOMUNIKASI VISUAL"
438,14125,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102735,2735. POLITEKNIK PERTANIAN NEGERI KUPANG JURUSAN PETERNAKAN ,9 - LULUSAN TERBAIK 1,(7106200) S-2 ILMU PETERNAKAN
439,14127,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30106073,"6073. UNIVERSITAS TIMOR FAKULTAS PERTANIAN 1
",U - UMUM 1,"(7199505) S-2 TEKNIK MESIN PERTANIAN DAN PANGAN / (9500193) S-2
TEKNIK PERTANIAN DAN BIOSISTEM"
440,14145,8,4,0,8,7,1,0,0,5,0,2,2,2,JFDO50002,ASISTEN AHLI,30104754,4754. UNIVERSITAS NUSA CENDANA FAKULTAS PETERNAKAN ,U - UMUM 4,"(7101194) S-2 TEKNOLOGI HASIL PETERNAKAN / (7101195) S-2 NUTRISI
DAN PAKAN TERNAK / (7106200) S-2 ILMU PETERNAKAN / (9500144) S-2
PRODUKSI DAN TEKNOLOGI PAKAN TERNAK / (9501448) S-2 TEKNOLOGI
PRODUKSI TERNAK"
441,14201,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30105640,"5640. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",U - UMUM 2,(7100456) S-2 TEKNIK SIPIL STRUKTUR
442,14222,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105445,"5445. UNIVERSITAS SILIWANGI FAKULTAS TEKNIK 2
",U - UMUM 1,"(7199571) S-2 SISTEM DAN TEKNIK JALAN RAYA / (9501419) S-2 TEKNIK
SIPIL KONSENTRASI TEKNIK JALAN RAYA"
443,14224,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105445,"5445. UNIVERSITAS SILIWANGI FAKULTAS TEKNIK 2
",9 - LULUSAN TERBAIK 1,"(7199571) S-2 SISTEM DAN TEKNIK JALAN RAYA / (9501419) S-2 TEKNIK
SIPIL KONSENTRASI TEKNIK JALAN RAYA"
444,14249,5,5,0,5,5,0,0,0,2,0,3,2,2,JFDO50002,ASISTEN AHLI,30104407,"4407. UNIVERSITAS NEGERI MANADO FAKULTAS TEKNIK 6
",U - UMUM 5,(7100398) S-2 TEKNIK INFORMATIKA
445,14272,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30101896,1896. POLITEKNIK MANUFAKTUR NEGERI BANGKA BELITUNG JURUSAN TEKNIK ELEKTRONIKA ,U - UMUM 1,"(7100144) S-2 JARINGAN KOMPUTER / (7100398) S-2 TEKNIK INFORMATIKA
/ (7160010) S-2 ILMU KOMPUTER / (7199355) S-2 SISTEM INFORMASI /
(7199449) S-2 MULTIMEDIA"
446,14288,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30104315,"4315. UNIVERSITAS NEGERI MAKASSAR FAKULTAS TEKNIK 3
",9 - LULUSAN TERBAIK 1,(7199369) S-2 TEKNIK MESIN
447,14296,3,4,0,3,3,0,0,0,1,0,2,2,1,JFDO50002,ASISTEN AHLI,30102324,2324. POLITEKNIK NEGERI MADURA JURUSAN TEKNIK LISTRIK INDUSTRI ,U - UMUM 4,"(7100414) S-2 TEKNIK ELEKTRO (CONTROL) / (7100899) S-2 TEKNIK
ELEKTRO-ELEKTRONIKA / (7105100) S-2 INSTRUMENTASI DAN KONTROL /
(9500180) S-2 TEKNIK ELEKTRO KONSENTRASI ARUS KUAT"
448,14304,3,3,0,3,2,1,0,0,1,0,1,2,1,JFDO50002,ASISTEN AHLI,30103466,"3466. UNIVERSITAS KHAIRUN FAKULTAS PERTANIAN 3
",U - UMUM 3,"(7106051) S-2 AGRIBISNIS / (7199353) S-2 PENYULUHAN DAN KOMUNIKASI
PERTANIAN / (7199354) S-2 SOSIAL EKONOMI PERTANIAN"
449,14372,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105006,5006. UNIVERSITAS PATTIMURA FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,U - UMUM 1,(7106511) S-2 MANAJEMEN SUMBER DAYA PANTAI
450,14374,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30103206,3206. UNIVERSITAS HALU OLEO FAKULTAS TEKNIK JURUSAN TEKNIK MESIN ,U - UMUM 2,(7199369) S-2 TEKNIK MESIN
451,14377,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30104913,"4913. UNIVERSITAS PAPUA FAKULTAS TEKNIK 2
",U - UMUM 2,(7100456) S-2 TEKNIK SIPIL STRUKTUR
452,14421,6,2,0,6,6,0,0,0,5,0,1,1,1,JFDO50002,ASISTEN AHLI,30104235,4235. UNIVERSITAS NEGERI MAKASSAR FAKULTAS EKONOMI ,U - UMUM 2,(7100069) S-2 EKONOMI / (7100281) S-2 PENDIDIKAN EKONOMI
453,14426,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30104235,4235. UNIVERSITAS NEGERI MAKASSAR FAKULTAS EKONOMI ,9 - LULUSAN TERBAIK 1,(7100069) S-2 EKONOMI / (7100281) S-2 PENDIDIKAN EKONOMI
454,14445,3,2,0,3,3,0,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30105639,"5639. UNIVERSITAS SULAWESI BARAT FAKULTAS TEKNIK 2
",U - UMUM 2,"(7100609) S-2 MANAJEMEN INFORMASI / (7101106) S-2 MANAJEMEN
TEKNOLOGI INFORMASI / (7109106) S-2 TEKNOLOGI INFORMASI / (7199355)
S-2 SISTEM INFORMASI / (9500154) S-2 REKAYASA PERANGKAT LUNAK"
455,14451,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30104549,"4549. UNIVERSITAS NEGERI PADANG FAKULTAS TEKNIK 2
",U - UMUM 1,"(7100076) S-2 ELEKTRONIKA / (7199486) S-2 MEKATRONIKA / (9501229) S-2
SISTEM PENGATUR"
456,14463,3,2,0,3,3,0,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30102134,2134. POLITEKNIK NEGERI JAKARTA JURUSAN TEKNIK ELEKTRO ,U - UMUM 2,(7100460) S-2 TEKNIK TELEKOMUNIKASI
457,14487,9,3,0,9,9,0,0,0,7,0,2,1,1,JFDO50002,ASISTEN AHLI,30104221,4221. UNIVERSITAS NEGERI MAKASSAR FAKULTAS BAHASA DAN SASTRA ,U - UMUM 3,"(7110082) S-2 PENDIDIKAN BAHASA INDONESIA / (9501034) S-2
PENDIDIKAN BAHASA KONSENTRASI BAHASA INDONESIA"
458,14498,5,2,0,5,5,0,0,0,4,0,1,1,1,JFDO50002,ASISTEN AHLI,30104862,"4862. UNIVERSITAS PALANGKARAYA FAKULTAS TEKNIK 2
",U - UMUM 2,"(7160010) S-2 ILMU KOMPUTER / (7160020) S-2 INFORMATIKA / (7199355)
S-2 SISTEM INFORMASI / (9500154) S-2 REKAYASA PERANGKAT LUNAK"
459,14580,15,5,0,15,15,0,0,0,12,0,3,2,2,JFDO50002,ASISTEN AHLI,30104110,4110. UNIVERSITAS NEGERI GORONTALO FAKULTAS OLAHRAGA DAN KESEHATAN ,U - UMUM 5,(7102300) S-2 FARMASI
460,14589,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30104110,4110. UNIVERSITAS NEGERI GORONTALO FAKULTAS OLAHRAGA DAN KESEHATAN ,9 - LULUSAN TERBAIK 1,(7102300) S-2 FARMASI
461,14591,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102987,"2987. UNIVERSITAS BENGKULU FAKULTAS PERTANIAN 1
",U - UMUM 1,(7145300) S-2 SOSIOLOGI PEDESAAN
462,14593,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30105626,5626. UNIVERSITAS SULAWESI BARAT FAKULTAS PETERNAKAN DAN PERIKANAN ,U - UMUM 2,"(7199473) S-2 TEKNOLOGI PENANGKAPAN IKAN / (7199514) S-2 TEKNOLOGI
HASIL PERIKANAN"
463,14652,1,3,0,1,1,0,0,0,1,0,0,3,1,JFDO50002,ASISTEN AHLI,30102393,2393. POLITEKNIK NEGERI MEDIA KREATIF JURUSAN PENERBITAN ,U - UMUM 3,"(7199372) S-2 FOTOGRAFI / (7199674) S-2 PENCIPTAAN DAN PENGKAJIAN
SENI"
464,14672,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105260,"5260. UNIVERSITAS RIAU FAKULTAS KEDOKTERAN 1
",U - UMUM 1,"(9501510) SPESIALIS-I PATOLOGI ANATOMI / (9501511) SPESIALIS-I
PATOLOGI KLINIK"
465,14680,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30103309,3309. UNIVERSITAS JEMBER FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,U - UMUM 1,"(7100145) S-2 KAJIAN PARIWISATA / (7100735) S-2 PERENCANAAN
KEPARIWISATAAN / (9500903) S-2 MANAJEMEN HOTEL / (9500909) S-2
MANAJEMEN KONSENTRASI HOSPITALITY MANAGEMENT"
466,14682,3,3,0,3,3,0,0,0,3,0,0,3,3,JFDO50002,ASISTEN AHLI,30104997,4997. UNIVERSITAS PATTIMURA FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,U - UMUM 3,(7153000) S-2 ILMU FISIKA
467,14706,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30103025,3025. UNIVERSITAS BORNEO FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN ,U - UMUM 1,(7110200) S-2 PENDIDIKAN OLAH RAGA
468,14724,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30102794,2794. POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH JURUSAN TEKNOLOGI PERTANIAN ,U - UMUM 2,"(7199364) S-2 TEKNIK SIPIL DAN LINGKUNGAN / (9500776) S-2 KETEKNIKAN
PERTANIAN KONSENTRASI SUMBER DAYA AIR"
469,14767,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30105988,"5988. UNIVERSITAS TEUKU UMAR FAKULTAS PERTANIAN 1
",U - UMUM 1,(7100565) S-2 BIO TEKNOLOGI / (7199347) S-2 MIKROBIOLOGI
470,14790,3,2,0,3,3,0,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30104980,4980. UNIVERSITAS PATTIMURA FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN ,U - UMUM 2,"(9501111) S-2 PENGELOLAAN SUMBER DAYA LINGKUNGAN DAN
PEMBANGUNAN"
471,14798,5,4,0,5,4,1,0,0,3,0,1,3,3,JFDO50002,ASISTEN AHLI,30102390,2390. POLITEKNIK NEGERI MEDIA KREATIF JURUSAN DESAIN ,U - UMUM 4,"(7100066) S-2 DESAIN KOMUNIKASI VISUAL / (7100240) S-2 PENCIPTAAN
SENI / (7199463) S-2 DESAIN PRODUK"
472,14858,2,5,0,2,2,0,0,0,1,0,1,4,1,JFDO50002,ASISTEN AHLI,30103128,"3128. UNIVERSITAS CENDERAWASIH FAKULTAS HUKUM 6
",U - UMUM 5,(7113153) S-2 HUKUM TATANEGARA / (7199851) S-2 HUKUM PERDATA
473,14861,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30103128,"3128. UNIVERSITAS CENDERAWASIH FAKULTAS HUKUM 6
",P - PUTRA/PUTRI PAPUA DAN PAPUA BARAT 1,(7113153) S-2 HUKUM TATANEGARA / (7199851) S-2 HUKUM PERDATA
474,14872,4,2,0,4,4,0,0,0,3,0,1,1,1,JFDO50002,ASISTEN AHLI,30102718,2718. POLITEKNIK PERKAPALAN NEGERI SURABAYA JURUSAN TEKNIK KELISTRIKAN KAPAL ,U - UMUM 2,(7102172) S-2 TEKNIK ELEKTRO
475,14893,3,3,0,3,3,0,0,0,2,0,1,2,2,JFDO50002,ASISTEN AHLI,30102363,"2363. POLITEKNIK NEGERI MANADO JURUSAN PARIWISATA 4
",U - UMUM 3,"(7100346) S-2 PERHOTELAN / (7199260) S-2 PARIWISATA / (7199459) S-2
BAHASA MANDARIN"
476,14948,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105464,5464. UNIVERSITAS SINGAPERBANGSA KARAWANG FAKULTAS ILMU KESEHATAN ,9 - LULUSAN TERBAIK 1,(9501057) S-2 PENDIDIKAN KEJURUAN KONSENTRASI BOGA
477,14973,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102150,2150. POLITEKNIK NEGERI JAKARTA JURUSAN TEKNIK MESIN ,9 - LULUSAN TERBAIK 1,(9501363) S-2 TEKNIK MESIN KONSENTRASI KONSTRUKSI PERANCANGAN
478,15024,12,4,0,12,10,2,0,0,7,0,3,1,1,JFDO50002,ASISTEN AHLI,30106031,"6031. UNIVERSITAS TIDAR FAKULTAS PERTANIAN 5
",U - UMUM 4,(7106431) S-2 BUDIDAYA PERAIRAN
479,15032,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30106031,"6031. UNIVERSITAS TIDAR FAKULTAS PERTANIAN 5
",9 - LULUSAN TERBAIK 1,(7106431) S-2 BUDIDAYA PERAIRAN
480,15056,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30105520,"5520. UNIVERSITAS SRIWIJAYA FAKULTAS ILMU KOMPUTER 2
",U - UMUM 2,"(7100756) S-2 SISTEM KOMPUTER / (7199500) S-2 TEKNIK KOMPUTER /
(9501302) S-2 TEKNIK ELEKTRO KONSENTRASI TEKNIK SISTEM KOMPUTER
/ (9501426) S-2 TEKNIK SISTEM KOMPUTER"
481,15059,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30103175,3175. UNIVERSITAS HALU OLEO FAKULTAS ILMU BUDAYA JURUSAN SASTRA PERANCIS ,U - UMUM 1,"(7100266) S-2 PENDIDIKAN BAHASA PERANCIS / (7100379) S-2 SASTRA
PERANCIS / (9500727) S-2 ILMU SUSASTRA KONSENTRASI SATRA PRANCIS"
482,15104,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30105043,"5043. UNIVERSITAS PEMBANGUNAN NASIONAL ""VETERAN"" JAKARTA FAKULTAS HUKUM ",U - UMUM 1,(7100625) S-2 HUKUM ACARA / (7123010) S-2 ILMU HUKUM
483,15109,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30103737,3737. UNIVERSITAS MARITIM RAJA ALI HAJI FAKULTAS EKONOMI ,U - UMUM 1,(7101430) S-2 MANAJEMEN KEUANGAN / (7199012) S-2 MANAJEMEN
484,15124,3,2,0,3,3,0,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30104982,4982. UNIVERSITAS PATTIMURA FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN ,U - UMUM 2,(7170000) S-2 MATEMATIKA
485,15129,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30102786,2786. POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH JURUSAN BUDIDAYA TANAMAN PANGAN ,U - UMUM 2,(9501146) S-2 PRODUKSI RUMINANSIA
486,15216,2,5,0,2,2,0,0,0,1,0,1,4,1,JFDO50002,ASISTEN AHLI,30102246,"2246. POLITEKNIK NEGERI KUPANG JURUSAN PARIWISATA 6
",U - UMUM 5,(7199260) S-2 PARIWISATA
487,15267,14,8,0,14,14,0,0,0,8,0,6,2,2,JFDO50002,ASISTEN AHLI,30103867,3867. UNIVERSITAS MATARAM FAKULTAS TEKNOLOGI PANGAN DAN AGROINDUSTRI ,U - UMUM 8,"(7100164) S-2 KETEKNIKAN PERTANIAN / (7101129) S-2 TEKNIK SISTEM /
(7102411) S-2 ILMU PANGAN / (7106021) S-2 TEKNIK PERTANIAN / (7199364)
S-2 TEKNIK SIPIL DAN LINGKUNGAN / (7199505) S-2 TEKNIK MESIN
PERTANIAN DAN PANGAN / (9500190) S-2 TEKNIK MESIN DAN BIOSISTEM /
(9500193) S-2 TEKNIK PERTANIAN DAN BIOSISTEM"
488,15462,4,2,0,4,4,0,0,0,3,0,1,1,1,JFDO50002,ASISTEN AHLI,30101563,1563. AKADEMI KOMUNITAS NEGERI SENI DAN BUDAYA YOGYAKARTA JURUSAN TARI ,U - UMUM 2,(7100509) S-2 PENGKAJIAN SENI PERTUNJUKAN DAN SENI RUPA
489,15511,3,2,0,3,3,0,0,0,3,0,0,2,2,JFDO50002,ASISTEN AHLI,30103896,"3896. UNIVERSITAS MULAWARMAN FAKULTAS FARMASI 2
",U - UMUM 2,"(9500544) S-2 FARMASI KONSENTRASI TEKNOLOGI FARMASI DAN
KOSMETIK"
490,15514,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30101704,1704. INSTITUT SENI INDONESIA YOGYAKARTA FAKULTAS SENI RUPA ,U - UMUM 1,"(9501118) S-2 PENGKAJIAN DAN PENCIPTAAN SENI KONSENTRASI SENI
GRAFIS / (9501211) S-2 SENI KONSENTRASI SENI GRAFIS"
491,15516,2,2,0,2,2,0,0,0,2,0,0,2,2,JFDO50002,ASISTEN AHLI,30102487,2487. POLITEKNIK NEGERI PONTIANAK JURUSAN TEKNIK MESIN ,U - UMUM 2,"(7199369) S-2 TEKNIK MESIN / (9501364) S-2 TEKNIK MESIN KONSENTRASI
KONVERSI MATERIAL"
492,15597,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30104189,4189. UNIVERSITAS NEGERI JAKARTA FAKULTAS ILMU PENDIDIKAN ,U - UMUM 1,(7100042) S-2 BIMBINGAN KONSELING
493,15605,3,3,0,3,3,0,0,0,2,0,1,2,2,JFDO50002,ASISTEN AHLI,30102323,2323. POLITEKNIK NEGERI MADURA JURUSAN TEKNIK LISTRIK INDUSTRI ,U - UMUM 3,"(7100398) S-2 TEKNIK INFORMATIKA / (7160010) S-2 ILMU KOMPUTER /
(7199355) S-2 SISTEM INFORMASI / (7199368) S-2 TEKNIK INFORMATIKA
DAN KOMPUTER"
494,15664,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30106139,6139. UNIVERSITAS TRUNOJOYO MADURA FAKULTAS KEISLAMAN ,U - UMUM 1,(7103422) S-2 HUKUM SYARIAH / (7123050) S-2 HUKUM ISLAM
495,15706,3,2,0,3,3,0,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30104458,"4458. UNIVERSITAS NEGERI MEDAN FAKULTAS TEKNIK 3
",U - UMUM 2,"(9501095) S-2 PENDIDIKAN TEKNOLOGI DAN KEJURUAN KONSENTRASI
TATA RIAS"
496,15765,4,5,0,4,4,0,0,0,1,0,3,2,1,JFDO50002,ASISTEN AHLI,30103126,3126. UNIVERSITAS CENDERAWASIH FAKULTAS EKONOMI DAN BISNIS ,U - UMUM 5,"(7100660) S-2 AKUNTANSI FORENSIK / (9500388) S-2 AKUNTANSI
KONSENTRASI AUDITING / (9500392) S-2 AKUNTANSI KONSENTRASI
PERPAJAKAN / (9500395) S-2 AKUNTANSI KONSENTRASI SISTEM
INFORMASI AKUNTANSI"
497,15840,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105652,5652. UNIVERSITAS SULTAN AGENG TIRTAYASA FAKULTAS HUKUM ,U - UMUM 1,(7199851) S-2 HUKUM PERDATA
498,15851,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30102191,"2191. POLITEKNIK NEGERI JEMBER JURUSAN PETERNAKAN 1
",U - UMUM 1,(7199494) S-2 PRODUKSI TERNAK
499,15925,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30105396,5396. UNIVERSITAS SEMBILANBELAS NOVEMBER KOLAKA FAKULTAS SAINS DAN TEKNOLOGI ,U - UMUM 2,(7199369) S-2 TEKNIK MESIN
500,15984,2,6,0,2,2,0,0,0,1,0,1,5,1,JFDO50002,ASISTEN AHLI,30104029,"4029. UNIVERSITAS MUSAMUS FAKULTAS TEKNIK 6
",U - UMUM 6,"(7103710) S-2 PENGINDERAAN JARAK JAUH / (7113054) S-2 MANAJEMEN
KOMPUTER / (7160010) S-2 ILMU KOMPUTER / (7199355) S-2 SISTEM
INFORMASI / (7199447) S-2 MANAJEMEN INFORMATIKA"
501,15987,6,2,0,6,6,0,0,0,5,0,1,1,1,JFDO50002,ASISTEN AHLI,30104758,4758. UNIVERSITAS NUSA CENDANA FAKULTAS SAINS DAN TEKNIK ,U - UMUM 2,"(7101227) S-2 TEKNIK PERTAMBANGAN / (7104500) S-2 GEODESI /
(7104700) S-2 TEKNIK GEOLOGI / (7109109) S-2 TEKNIK LINGKUNGAN /
(7109121) S-2 TEKNIK GEOMATIKA / (7113060) S-2 PERTAMBANGAN /
(7131010) S-2 ILMU LINGKUNGAN / (7199008) S-2 TEKNIK PANAS BUMI /
(7199222) S-2 REKAYASA PERTAMBANGAN / (7199225) S-2 TEKNIK GEODESI
/ (7199227) S-2 TEKNIK GEOFISIKA / (7199230) S-2 TEKNIK PERMINYAKAN /
(9500050) S-2 ILMU GEODESI"
502,15992,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30106087,"6087. UNIVERSITAS TIMOR FAKULTAS PERTANIAN 2
",U - UMUM 2,"(9500062) S-2 ILMU KOMPUTER KONSENTRASI REKAYASA PERANGKAT
LUNAK / (9500680) S-2 ILMU KOMPUTER KONSENTRASI REKAYASA
REKAYASA JARINGAN"
503,16027,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30101595,1595. INSTITUT SENI BUDAYA INDONESIA BANDUNG FAKULTAS SENI PERTUNJUKKAN ,U - UMUM 1,"(7199674) S-2 PENCIPTAAN DAN PENGKAJIAN SENI / (9501018) S-2
PENCIPTAAN DAN PENGKAJIAN SENI KONSENTRASI PENCIPTAAN SENI /
(9501208) S-2 SENI KONSENTRASI PENCIPTAAN SENI"
504,16100,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30102807,2807. POLITEKNIK PERTANIAN NEGERI SAMARINDA JURUSAN MANAJEMEN PERTANIAN ,U - UMUM 2,(7102172) S-2 TEKNIK ELEKTRO / (7109106) S-2 TEKNOLOGI INFORMASI
505,16110,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30103606,"3606. UNIVERSITAS LAMPUNG FAKULTAS KEDOKTERAN 2
",U - UMUM 2,"(7102300) S-2 FARMASI / (9500527) S-2 FARMASI KONSENTRASI
BIOTEKNOLOGI DAN BAHAN ALAM"
506,16155,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102098,2098. POLITEKNIK NEGERI INDRAMAYU JURUSAN TEKNIK INFORMATIKA ,U - UMUM 1,(7100576) S-2 ADMINISTRASI RUMAH SAKIT
507,16320,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30102053,2053. POLITEKNIK NEGERI BENGKALIS JURUSAN TEKNIK ELEKTRO ,U - UMUM 2,(7100897) S-2 TEKNIK ELEKTRO-TEKNIK SISTEM PENGATURAN
508,16340,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102991,"2991. UNIVERSITAS BENGKULU FAKULTAS PERTANIAN 1
",U - UMUM 1,(7100337) S-2 PENYULUHAN PERTANIAN
