,page,jumlah_peserta_skb,jumlah_formasi,jumlah_metode_skb,peserta_total,peserta_hadir,peserta_th,hasil_tl,hasil_tms,hasil_tms-1,hasil_aps,lulus_akhir,sisa_formasi,tms1_terbaik,kode_jabatan,jabatan,kode_lokasi,lokasi_formasi,jenis_formasi,pendidikan
366,11872,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30104216,"4216. UNIVERSITAS NEGERI JAKARTA FAKULTAS TEKNIK 1
",U - UMUM 1,(7103705) S-2 PENDIDIKAN TEKNIK INFORMATIKA DAN KOMPUTER
367,11912,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30104797,4797. UNIVERSITAS PALANGKARAYA FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN ,U - UMUM 1,(7103551) S-2 PANCASILA DAN KEWARGANEGARAAN
368,11948,2,2,0,2,2,0,0,0,2,0,0,2,2,JFDO50002,ASISTEN AHLI,30103519,3519. UNIVERSITAS LAMBUNG MANGKURAT FAKULTAS KEDOKTERAN ,U - UMUM 2,"(6104011) SPESIALIS I ANAK / (9500666) S-2 ILMU KEPERAWATAN
KONSENTRASI ANAK"
369,11975,6,5,0,6,6,0,0,0,2,0,4,1,1,JFDO50002,ASISTEN AHLI,30101973,1973. POLITEKNIK NEGERI BALIKPAPAN JURUSAN TEKNIK MESIN ,U - UMUM 5,"(7101161) S-2 TEKNIK MESIN KONSENTRASI KONVERSI ENERGI / (7199369)
S-2 TEKNIK MESIN / (9501362) S-2 TEKNIK MESIN KONSENTRASI
KONSTRUKSI MESIN"
370,11995,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102923,"2923. UNIVERSITAS BANGKA BELITUNG FAKULTAS TEKNIK 1
",U - UMUM 1,"(7100203) S-2 MANAJEMEN KONSTRUKSI / (7101159) S-2 REKAYASA DAN
MANAJEMEN INFRASTRUKTUR / (9500925) S-2 MANAJEMEN KONSTRUKSI
DAN INFRA STRUKTUR / (9500936) S-2 MANAJEMEN PROYEK KONSTRUKSI
/ (9500938) S-2 MANAJEMEN REKAYASA INFRA STRUKTUR / (9501406) S-2
TEKNIK SIPIL KONSENTRASI MANAJEMEN KONSTRUKSI DAN
INFRASTRUKTUR"
371,12000,12,4,0,12,12,0,0,0,9,0,3,1,1,JFDO50002,ASISTEN AHLI,30104237,4237. UNIVERSITAS NEGERI MAKASSAR FAKULTAS EKONOMI ,U - UMUM 4,"(7199012) S-2 MANAJEMEN / (9500913) S-2 MANAJEMEN KONSENTRASI
MANAJEMEN KEUANGAN"
372,12008,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30104237,4237. UNIVERSITAS NEGERI MAKASSAR FAKULTAS EKONOMI ,9 - LULUSAN TERBAIK 1,"(7199012) S-2 MANAJEMEN / (9500913) S-2 MANAJEMEN KONSENTRASI
MANAJEMEN KEUANGAN"
373,12061,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30101626,1626. INSTITUT SENI INDONESIA PADANG PANJANG FAKULTAS SENI RUPA DAN DESAIN ,U - UMUM 1,(7103726) S-2 TATA KELOLA SENI
374,12068,1,2,0,1,1,0,0,0,1,0,0,2,1,JFDO50002,ASISTEN AHLI,30103973,"3973. UNIVERSITAS MULAWARMAN FAKULTAS PERTANIAN 2
",U - UMUM 2,(7100814) S-2 HORTIKULTURA / (7106111) S-2 ILMU TANAMAN
375,12153,2,1,0,2,2,0,0,0,2,0,0,1,1,JFDO50002,ASISTEN AHLI,30105384,5384. UNIVERSITAS SEMBILANBELAS NOVEMBER KOLAKA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,U - UMUM 1,"(7101270) S-2 ILMU EKONOMI / (7199690) S-2 EKONOMIKA PEMBANGUNAN
/ (7199893) S-2 EKONOMI PEMBANGUNAN"
376,12186,8,5,0,8,7,1,0,0,3,0,4,1,1,JFDO50002,ASISTEN AHLI,30102628,2628. POLITEKNIK NEGERI SRIWIJAYA JURUSAN TEKNIK SIPIL ,U - UMUM 5,(7109103) S-2 TEKNIK SIPIL / (7199203) S-2 TRANSPORTASI
377,12221,3,3,0,3,3,0,0,0,1,0,2,1,1,JFDO50002,ASISTEN AHLI,30102753,2753. POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN JURUSAN BUDIDAYA TANAMAN PERKEBUNAN ,U - UMUM 3,(7100947) S-2 ARSITEKTUR LANSKAP
378,12292,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30104773,4773. UNIVERSITAS PALANGKARAYA FAKULTAS ILMU SOSIAL DAN ILMU POLITIK ,9 - LULUSAN TERBAIK 1,"(7101350) S-2 ADMINISTRASI PUBLIK / (7199287) S-2 ILMU ADMINISTRASI
NEGARA"
379,12324,2,2,0,2,2,0,0,0,2,0,0,2,2,JFDO50002,ASISTEN AHLI,30105980,5980. UNIVERSITAS TEUKU UMAR FAKULTAS PERIKANAN DAN ILMU KELAUTAN ,U - UMUM 2,"(7100565) S-2 BIO TEKNOLOGI / (7199514) S-2 TEKNOLOGI HASIL
PERIKANAN / (7199595) S-2 TEKNOLOGI HASIL PERAIRAN"
380,12332,3,2,0,3,3,0,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30102821,2821. POLITEKNIK PERTANIAN NEGERI SAMARINDA JURUSAN TEKNOLOGI PERTANIAN ,U - UMUM 2,(7109103) S-2 TEKNIK SIPIL
381,12365,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102507,2507. POLITEKNIK NEGERI SAMARINDA JURUSAN KEMARITIMAN ,U - UMUM 1,(7101450) S-2 MANAJEMEN PEMASARAN
382,12452,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30105373,"5373. UNIVERSITAS SAMUDRA FAKULTAS TEKNIK 1
",U - UMUM 1,(9500111) S-2 NATURAL PRODUCTS
383,12503,4,2,0,4,4,0,0,0,3,0,1,1,1,JFDO50002,ASISTEN AHLI,30103928,3928. UNIVERSITAS MULAWARMAN FAKULTAS KEDOKTERAN ,U - UMUM 2,"(7102436) S-2 BIO MEDIK / (7103667) S-2 KEDOKTERAN GIGI FORENSIK /
(9500018) S-2 BIOLOGI ORAL / (9500079) S-2 KEDOKTERAN GIGI
PENCEGAHAN DAN PROMOSI KESEHATAN GIGI / (9500688) S-2 ILMU
MATERIAL KEDOKTERAN GIGI / (9500893) S-2 MANAGEMEN PELAYANAN
KESEHATAN GIGI / (9500895) S-2 MANAGEMEN RUMAH SAKIT"
